	c_beta
GSM1941868	0.8071416877484461
GSM1941875	0.781805743187064
GSM1941881	0.7926965016423764
GSM1941884	0.8713158765355455
GSM1941885	0.8841348750326221
GSM1941890	0.7664115523646924
GSM1941891	0.8070165477631129
GSM1941892	0.8485568758412816
GSM1941896	0.8166671639700613
GSM1941899	0.77053893526487
GSM1941900	0.7862684551402239
GSM1941901	0.828283417365896
GSM1941902	0.862131289721353
GSM1941903	0.7955023264739252
GSM1941904	0.8816139291408144
GSM1941906	0.793502891086434
GSM1941907	0.9007367936023281
GSM1941911	0.8256875861170984
GSM1941912	0.8168973297659188
GSM1941913	0.7929011237094682
GSM1941914	0.8201954369378317
GSM1941915	0.8369186347066613
GSM1941919	0.8629860050172848
GSM1941920	0.7554640560674555
GSM1941922	0.855451008828358
GSM1941923	0.8838833055834237
GSM1941924	0.7175091034280014
GSM1941928	0.8401617614594525
GSM1941931	0.8168915539279904
GSM1941935	0.8679809512296973
GSM1941937	0.7687688785901176
GSM1941938	0.8486724299520364
GSM1941939	0.8207769402960003
GSM1941942	0.8220467925072195
GSM1941943	0.7898816857124926
GSM1941949	0.7846125505068678
GSM1941951	0.7792665613956653
GSM1941952	0.7933191217845685
GSM1941953	0.8119010940124818
GSM1941954	0.8074066707397842
GSM1941955	0.8936663712868902
GSM1941960	0.797311696896402
GSM1941961	0.7757352466742595
GSM1941962	0.8283904969547091
GSM1941966	0.8373529502054718
GSM1941967	0.856945732617308
GSM1941968	0.8531143945253618
GSM1941970	0.8907628953038011
GSM1941971	0.8397877362846222
GSM1941972	0.8163445720706526
GSM1941973	0.7737423854895081
GSM1941974	0.8709085665493346
GSM1941976	0.797104316563728
GSM1941977	0.8450858588449869
GSM1941978	0.8623316216612131
GSM1941979	0.8608337496036804
GSM1941982	0.8081307852205897
GSM1941984	0.8331596051360891
GSM1941985	0.729793869712058
GSM1941988	0.8445907618938786
GSM1941989	0.8726386583753653
GSM1941992	0.8305929219860966
GSM1941994	0.8728874097762124
GSM1941995	0.8151584602564979
GSM1941996	0.8554128858620611
GSM1941997	0.8403769966071281
GSM1941998	0.7514852354301075
GSM1941999	0.8511872342094511
GSM1942000	0.8880903572732047
GSM1942001	0.8165010194348205
GSM1942002	0.8868733354801586
GSM1942003	0.8481129778073576
GSM1942005	0.7697370338820351
GSM1942006	0.8307269854893357
GSM1942008	0.8276380080668122
GSM1942010	0.811438728761089
GSM1942011	0.7310596267620076
GSM1942013	0.8781994730713063
GSM1942018	0.8503552273521263
GSM1942020	0.7617595282644192
GSM1942021	0.7817296538196727
GSM1942022	0.8413331453183301
GSM1942024	0.8306690407308301
GSM1942025	0.8105697627711992
GSM1942026	0.785423789427282
GSM1942027	0.8400932514914705
GSM1942029	0.8221820736114267
GSM1942030	0.8403657313537634
GSM1942032	0.8162624424437599
GSM1942033	0.8388589558997547
GSM1942034	0.8022103891305553
GSM1942036	0.8328255309793343
GSM1942038	0.7915323441019999
GSM1942040	0.7987817816227664
GSM1942044	0.8612037478519394
GSM1942045	0.8070178440495701
GSM1942048	0.8325808861665647
GSM1942049	0.7751892461013806
