	c_beta
GSM1941868	0.829572368170792
GSM1941875	0.8098605286445091
GSM1941881	0.832899695198517
GSM1941884	0.8757388773107602
GSM1941885	0.8990729817864986
GSM1941890	0.7877055003322507
GSM1941891	0.8005016443072547
GSM1941892	0.864452011465364
GSM1941896	0.8262813226798993
GSM1941899	0.8137947379703453
GSM1941900	0.8363101379815354
GSM1941901	0.8323890767793795
GSM1941902	0.8620049783746899
GSM1941903	0.8038303640735689
GSM1941904	0.8802632937937453
GSM1941906	0.8233786849522691
GSM1941907	0.9013127612352456
GSM1941911	0.8720008918059259
GSM1941912	0.8223988621770982
GSM1941913	0.8105507145774554
GSM1941914	0.8155955190278358
GSM1941915	0.8378496029119794
GSM1941919	0.8867616583975749
GSM1941920	0.772546874507845
GSM1941922	0.8633754221506914
GSM1941923	0.9103965195848022
GSM1941924	0.787610318173162
GSM1941928	0.8651489275301576
GSM1941931	0.8210216774093955
GSM1941935	0.8907802264077838
GSM1941937	0.8026598240150726
GSM1941938	0.843378714025877
GSM1941939	0.8041752711435859
GSM1941942	0.8350717361566664
GSM1941943	0.8189681380400036
GSM1941949	0.7861365535487065
GSM1941951	0.8096631201808181
GSM1941952	0.8292159860543848
GSM1941953	0.8298408784397739
GSM1941954	0.8324446654691433
GSM1941955	0.8662209545171392
GSM1941960	0.836842276094814
GSM1941961	0.8169782759803892
GSM1941962	0.8606397982081347
GSM1941966	0.8651966225245782
GSM1941967	0.8751814890877385
GSM1941968	0.8111324078869416
GSM1941970	0.904295589170583
GSM1941971	0.8366422927846962
GSM1941972	0.813934440565935
GSM1941973	0.8112009115506259
GSM1941974	0.8770695306107832
GSM1941976	0.8273344639384634
GSM1941977	0.8542639424677821
GSM1941978	0.8688569457822874
GSM1941979	0.8717102539051488
GSM1941982	0.8220960036740432
GSM1941984	0.8442090214987648
GSM1941985	0.7594952087281441
GSM1941988	0.8572670245320795
GSM1941989	0.8908557307416991
GSM1941992	0.8561650282304822
GSM1941994	0.856282149688356
GSM1941995	0.8595284457474428
GSM1941996	0.8431164908544605
GSM1941997	0.8469137815759232
GSM1941998	0.7768606648963
GSM1941999	0.874362095022376
GSM1942000	0.8912304084158145
GSM1942001	0.8505507968480579
GSM1942002	0.8974260244805355
GSM1942003	0.8841754616148036
GSM1942005	0.7997161397768273
GSM1942006	0.8152528932481266
GSM1942008	0.8026332513583023
GSM1942010	0.8045691732687106
GSM1942011	0.7236755611301076
GSM1942013	0.9112461728842295
GSM1942018	0.865951525035934
GSM1942020	0.7686031644771573
GSM1942021	0.788904962484358
GSM1942022	0.8276799370575622
GSM1942024	0.8123235106594222
GSM1942025	0.7521053507894646
GSM1942026	0.7673941588945564
GSM1942027	0.8662494721246627
GSM1942029	0.8509842601778999
GSM1942030	0.8541558557503053
GSM1942032	0.74436434523884
GSM1942033	0.8238367953546677
GSM1942034	0.7464609641780817
GSM1942036	0.8273655825254748
GSM1942038	0.7831927651644949
GSM1942040	0.7246081054309215
GSM1942044	0.8772716877728085
GSM1942045	0.8313146817092981
GSM1942048	0.8433645181337217
GSM1942049	0.8060610287453658
