libName	subtype.pam50	subtype.pam50_proba_Basal	subtype.pam50_proba_Her2	subtype.pam50_proba_LumA	subtype.pam50_proba_LumB	subtype.pam50_proba_Normal
TCGA.D8.A27G.01A	LumB	0	0.032258064516129	0.203001656758601	0.76474027872527	0
TCGA.E2.A1B1.01A	Her2	0	0.658254344391785	0	0.341745655608215	0
TCGA.AN.A0XO.01A	LumB	0	0.359221748400853	0	0.640778251599147	0
TCGA.AR.A255.01A	Her2	0	0.412629468760441	0.185566321416639	0.40180420982292	0
TCGA.GM.A5PV.01A	LumA	0	0.240210927858185	0.422865477392573	0.336923594749243	0
TCGA.S3.A6ZG.01A	LumA	0	0	0.796427735746042	0.0145854457530614	0.188986818500897
TCGA.OL.A66N.01A	LumB	0	0.450838168923275	0	0.549161831076725	0
TCGA.UL.AAZ6.01A	Basal	0.547599488864549	0	0	0	0.452400511135451
TCGA.LL.A5YM.01A	LumA	0	0	0.679855072463768	0.320144927536232	0
TCGA.LD.A7W5.01A	LumA	0	0	0.688906688025631	0.0374048858630356	0.273688426111334
TCGA.BH.A1F8.01A	LumA	0	0.129245763328242	0.564622881664121	0.306131355007637	0
TCGA.AC.A2BM.01A	LumA	0	0.150692882536458	0.666981063629108	0	0.182326053834434
TCGA.AR.A1AM.01A	LumB	0.0289733049378436	0.467485513347531	0	0.503541181714625	0
TCGA.E2.A1IN.01A	LumB	0	0.388242540377772	0	0.611757459622228	0
TCGA.AR.A1AR.01A	Basal	0.610558303044748	0.18369778942978	0	0.205743907525472	0
TCGA.EW.A1P6.01A	LumB	0	0.428403857850378	0	0.571596142149622	0
TCGA.BH.A0H0.01A	Basal	0.40908112760921	0.326963632451044	0	0.263955239939746	0
TCGA.E2.A107.01A	Basal	1	0	0	0	0
TCGA.A7.A426.01A	LumB	0	0.120230137913529	0.348168203739741	0.53160165834673	0
TCGA.AR.A24K.01A	LumB	0	0.0594811773954057	0.0254170669927505	0.915101755611844	0
TCGA.BH.A1FG.01A	LumB	0	0	0.421911037891268	0.578088962108731	0
TCGA.BH.A0H9.01A	LumA	0	0	0.562994181709682	0	0.437005818290318
TCGA.D8.A1J9.01A	LumB	0	0.340038053818973	0.0466974721391683	0.613264474041859	0
TCGA.D8.A27K.01A	LumB	0	0.0958980559947912	0.321923541996093	0.582178402009116	0
TCGA.E2.A2P5.01A	LumB	0	0	0.127319384129491	0.872680615870509	0
TCGA.AO.A1KS.01A	LumB	0	0.42057057057057	0	0.579429429429429	0
TCGA.E2.A1BC.01A	LumB	0	0.404821150855365	0	0.595178849144634	0
TCGA.E9.A1RI.01A	Basal	1	0	0	0	0
TCGA.AC.A5XS.01A	LumA	0	0	0.578830823737821	0.421169176262179	0
TCGA.B6.A400.01A	Basal	0.526855832616796	0.280710805388363	0	0.192433361994841	0
TCGA.E2.A1IJ.01A	Basal	0.979830287206266	0.0201697127937337	0	0	0
TCGA.EW.A1PG.01A	LumB	0	0.0579361790302528	0.0537919602154994	0.888271860754248	0
TCGA.A1.A0SK.01A	LumA	0	0	0.685725056546871	0	0.314274943453129
TCGA.AR.A24R.01A	LumA	0	0	0.842559801180491	0.00565392979186083	0.151786269027648
TCGA.E2.A1B4.01A	Her2	0.103734439834025	0.455048409405256	0	0.441217150760719	0
TCGA.AQ.A1H2.01A	LumB	0	0	0.358362009635237	0.641637990364763	0
TCGA.C8.A1HK.01A	LumA	0	0	0.533128528727997	0.466871471272003	0
TCGA.D8.A1JF.01A	Basal	0.82660626029654	0.17339373970346	0	0	0
TCGA.EW.A424.01A	LumB	0	0.0627287956815785	0.213004901656636	0.724266302661786	0
TCGA.GM.A2DK.01A	LumB	0	0.484116755117513	0	0.515883244882487	0
TCGA.A2.A1G4.01A	LumB	0	0.316418091427186	0	0.683581908572814	0
