libName	subtype.pam50	subtype.pam50_proba_Basal	subtype.pam50_proba_Her2	subtype.pam50_proba_LumA	subtype.pam50_proba_LumB	subtype.pam50_proba_Normal
TCGA.E2.A1B1.01A.21R.A12P.07	LumA	0	0.325295954680805	0.421744498511148	0	0.252959546808047
TCGA.AN.A0XO.01A.11R.A109.07	LumA	0	0	0.878090023351317	0.105080924390048	0.016829052258636
TCGA.AR.A255.01A.11R.A169.07	LumA	0	0	0.57258064516129	0.42741935483871	0
TCGA.UL.AAZ6.01A.11R.A41B.07	Her2	0	0.531975583319071	0.0241314393291118	0.443892977351817	0
TCGA.LD.A7W5.01A.22R.A352.07	LumA	0	0	0.679547320276768	0	0.320452679723232
TCGA.BH.A1F8.01A.11R.A13Q.07	LumB	0	0.343038109431552	0	0.656961890568448	0
TCGA.AC.A2BM.01A.11R.A21T.07	LumB	0	0	0.355315116095404	0.644684883904596	0
TCGA.E2.A1IN.01A.11R.A13Q.07	LumA	0	0	0.715074341233623	0.284925658766377	0
TCGA.AR.A1AR.01A.31R.A137.07	Basal	0.778562140070593	0.0881169112638554	0	0.133320948665552	0
TCGA.EW.A1P6.01A.11R.A144.07	LumA	0	0	0.557792515395547	0.442207484604453	0
TCGA.BH.A0H0.01A.11R.A056.07	LumB	0	0.239427096139661	0	0.760572903860339	0
TCGA.AR.A24K.01A.11R.A169.07	LumB	0	0	0.177661832331093	0.822338167668907	0
TCGA.BH.A1FG.01A.11R.A13Q.07	LumA	0	0	0.764984835952578	0.150372208436725	0.0846429556106976
TCGA.BH.A0H9.01A.11R.A056.07	LumB	0	0	0.297220875747294	0.702779124252706	0
TCGA.D8.A1J9.01A.11R.A13Q.07	Her2	0	0.540757139694487	0.0431702457383219	0.416072614567191	0
TCGA.D8.A27K.01A.11R.A16F.07	LumA	0	0	0.719614533382516	0	0.280385466617484
TCGA.B6.A400.01A.11R.A239.07	Basal	0.998931086519115	0	0	0	0.00106891348088531
TCGA.AR.A24R.01A.11R.A169.07	LumB	0	0.0225552861656014	0.116156050253471	0.861288663580927	0
TCGA.E2.A1B4.01A.11R.A12P.07	LumA	0	0	0.669947651699477	0	0.330052348300523
TCGA.AQ.A1H2.01A.11R.A13Q.07	LumA	0	0.16275750511442	0.498739235929397	0.338503258956182	0
TCGA.C8.A1HK.01A.21R.A13Q.07	Her2	0	0.659465869251392	0	0.340534130748608	0
TCGA.D8.A1JF.01A.11R.A13Q.07	Her2	0	0.547523219814241	0	0.452476780185759	0
TCGA.GM.A2DK.01A.21R.A180.07	LumA	0	0	0.68861316790074	0.118537789340271	0.192849042758989
TCGA.A2.A1G4.01A.11R.A13Q.07	LumB	0	0	0.156393129770992	0.843606870229008	0
TCGA.BH.A0HB.01A.11R.A056.07	LumB	0	0	0.376734158230221	0.623265841769779	0
TCGA.C8.A1HG.01A.11R.A137.07	LumB	0	0	0	1	0
TCGA.BH.A1F6.01A.11R.A13Q.07	Basal	0.914898162654892	0.0851018373451075	0	0	0
TCGA.BH.A1FU.01A.11R.A14D.07	Her2	0.0906577693040991	0.909342230695901	0	0	0
TCGA.BH.A1FN.01A.11R.A13Q.07	LumB	0.138011778897325	0.310721634854183	0	0.551266586248492	0
TCGA.EW.A6S9.01A.22R.A33J.07	Her2	0	0.70416006571613	0.0392536525259637	0.256586281757906	0
TCGA.OL.A5D6.01A.21R.A27Q.07	LumA	0	0.254727474972191	0.408493096905058	0	0.336779428122751
TCGA.E9.A1R7.01A.11R.A14M.07	LumB	0	0.0309078721978104	0.11253444552022	0.856557682281969	0
TCGA.AR.A0TZ.01A.12R.A084.07	LumB	0	0.0604453870625663	0.316094298066726	0.623460314870707	0
TCGA.E2.A1L6.01A.11R.A13Q.07	LumA	0	0	0.707888693772795	0	0.292111306227205
TCGA.A7.A26H.01A.11R.A169.07	LumA	0	0	0.736933555740895	0.263066444259105	0
TCGA.BH.A1F5.01A.12R.A13Q.07	LumA	0	0	0.769423050939062	0.230576949060938	0
TCGA.A2.A0YT.01A.11R.A109.07	LumB	0	0.419609821728893	0	0.580390178271107	0
TCGA.AQ.A0Y5.01A.11R.A14M.07	LumA	0	0.416749038989566	0.466611751784734	0.0706754530477759	0.0459637561779242
TCGA.GI.A2C8.01A.11R.A16F.07	LumA	0	0	0.617116765532314	0	0.382883234467687
TCGA.AO.A0JI.01A.21R.A056.07	LumA	0	0	0.544351135021651	0.455648864978349	0
TCGA.C8.A1HO.01A.11R.A13Q.07	LumB	0	0.0127846922360511	0.266615866565066	0.720599441198882	0
TCGA.C8.A1HI.01A.11R.A137.07	LumA	0	0	0.695264287630802	0	0.304735712369198
TCGA.B6.A1KC.01B.11R.A157.07	LumB	0	0.049072218271158	0.28415335876382	0.666774422965022	0
TCGA.C8.A274.01A.11R.A16F.07	LumB	0	0.234726082245984	0.119035281925668	0.646238635828348	0
TCGA.E2.A1L7.01A.11R.A144.07	LumB	0	0.140315363307053	0	0.859684636692947	0
TCGA.D8.A1XU.01A.11R.A14M.07	LumA	0	0	0.749733291496705	0.00671477878882962	0.243551929714465
TCGA.B6.A0IK.01A.12R.A056.07	Her2	0	0.789721674337059	0	0.210278325662941	0
TCGA.E9.A247.01A.11R.A169.07	LumB	0	0	0.261764705882353	0.738235294117647	0
TCGA.AN.A0XW.01A.11R.A109.07	LumB	0	0.45209861132782	0	0.54790138867218	0
TCGA.AC.A8OP.01A.11R.A36F.07	LumA	0	0	0.685738244210798	0.0956589047281171	0.218602851061085
TCGA.EW.A6SD.01A.12R.A33J.07	Her2	0	0.763174241639921	0	0.236825758360079	0
TCGA.AR.A24Q.01A.12R.A169.07	Basal	0.873837013787692	0	0	0	0.126162986212308
TCGA.E2.A1LI.01A.12R.A157.07	Basal	0.922418743539681	0.0775812564603193	0	0	0
TCGA.D8.A1XR.01A.11R.A14M.07	LumB	0	0.108916925702444	0.293228500030475	0.597854574267081	0
TCGA.A2.A0SV.01A.11R.A084.07	LumB	0	0.426645956508668	0	0.573354043491332	0
